log_id,source_id,operation,status,records_collected,error_message,started_at,finished_at,duration_sec
1,1,collect_from_database,success,10,,2026-03-06T11:34:09.758086,2026-03-06T11:34:09.838505,0.080419
2,2,collect_from_api,success,67,,2026-03-06T11:34:09.846968,2026-03-06T11:34:18.274212,8.427244
3,3,collect_from_web,success,219,,2026-03-06T11:34:18.290146,2026-03-06T11:34:43.153179,24.863033
4,1,collect_from_database,success,10,,2026-03-06T11:35:44.486876,2026-03-06T11:35:44.550411,0.063535
5,2,collect_from_api,success,67,,2026-03-06T11:35:44.554432,2026-03-06T11:35:52.479987,7.925555
6,3,collect_from_web,success,219,,2026-03-06T11:35:52.496494,2026-03-06T11:36:14.288501,21.792007
